total_fpackets,total_fvolume,max_fpktl,max_bpktl,duration,fpsh_cnt,total_fhlen,label
23,10117,4037,1466,776358,7,472,0
8,712,286,851,276215,1,172,0
1,66,66,66,424659,0,32,0
8,1103,632,208,365551,2,172,0
30,7327,2589,2878,548024,10,612,0
18,3572,967,4150,870972,8,372,0
9,3386,2212,3977,553690,4,192,0
5,829,583,204,543942,1,112,0
255,1656115,16467,679,850592,185,5112,0
13,1355,571,4150,589990,2,272,0
7,1002,591,200,408612,2,152,0
5,817,571,1466,88787,1,112,0
8,1097,626,204,706119,2,172,0
111,13709,647,16998,854780,37,2232,0
302,22463,571,7114,305193,47,6136,0
61,39800,2245,2878,722284,26,1244,0
18,2125,571,3822,994662,5,372,0
32,4077,634,367,34885,14,652,0
